[ 2013-01-04T16:38:33+08:00 ] /ComputerAssets/index.php/User/Test2 | ERR: (ThinkException) 非法操作Test2
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008153s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008261s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000447s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000283s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000517s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001948s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000490s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000556s ]
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:19:14+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000902s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000593s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000890s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000400s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000474s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.009381s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009495s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000435s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000472s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000390s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000552s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002067s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000676s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000755s ]
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:19:16+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000919s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001021s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000587s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000655s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000442s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000522s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.007943s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008038s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000369s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000431s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000506s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001746s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000610s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000689s ]
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:20:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.002069s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.002186s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000637s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000410s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000484s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008189s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008295s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000407s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000439s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000278s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000534s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001844s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000497s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000563s ]
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:20:28+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000913s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001014s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000587s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000656s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.001515s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.001647s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008425s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008524s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000363s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000435s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000507s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001739s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000490s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000556s ]
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:20:38+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000896s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000998s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000592s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000663s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000405s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000482s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.009042s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009172s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000393s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000451s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000266s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000508s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001804s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000515s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000583s ]
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:20:39+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000898s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.000997s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000591s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000661s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000448s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000533s ]
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:20:40+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008184s ]
